username,timeSubmitted,items,approver,status,receipts
emandre0,"September 25, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
ngatchel1,"July 31, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
mcantillion2,"January 2, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
ehobbema3,"February 13, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
npetzold4,"June 15, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
vtrigg5,"July 8, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,denied,[]
ndowtry6,"July 7, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
jfrowen7,"June 28, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
jsuggett8,"April 1, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,pending,[]
abraxton9,"August 25, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,approved,[]
